,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score,num_review,review_score
9123,36074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.5,-1,-1.0
9124,36075,8.4,9.1,9.1,9.1,9.2,9.5,9.2,8.15,-1,-1.0
9125,36080,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1,-1.0
9126,36083,6.9,-1.0,7.1,-1.0,7.5,6.8,6.3,7.3,-1,-1.0
9127,36084,9.4,-1.0,8.5,9.3,9.3,9.3,9.1,8.7,-1,-1.0
9128,36085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9129,36086,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.6,-1,-1.0
9130,36087,7.9,-1.0,8.3,7.8,-1.0,7.7,-1.0,6.95,-1,-1.0
9131,36088,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9132,36089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,-1,-1.0
9133,36092,8.2,-1.0,7.8,8.3,8.1,7.4,8.1,8.1,-1,-1.0
9134,36093,10.0,8.0,10.0,10.0,-1.0,10.0,-1.0,8.0,-1,-1.0
9135,36094,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9136,36095,6.8,-1.0,8.4,-1.0,7.2,7.4,6.2,8.45,-1,-1.0
9137,36097,10.0,-1.0,7.6,10.0,10.0,8.5,6.3,9.2,4,4.98
9138,36098,8.5,6.0,7.8,7.0,8.8,8.8,7.2,8.15,-1,-1.0
9139,36101,8.8,-1.0,7.2,8.8,-1.0,7.5,-1.0,7.6,2,3.8
9140,36102,10.0,-1.0,10.0,-1.0,10.0,10.0,10.0,10.0,-1,-1.0
9141,36103,8.3,-1.0,8.3,-1.0,8.3,9.2,7.5,8.15,-1,-1.0
9142,36105,7.8,-1.0,7.5,-1.0,-1.0,7.6,7.6,7.9,2,6.4
9143,36106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9144,36107,9.3,-1.0,9.0,9.3,9.3,9.4,9.4,8.65,28,4.25
9145,36108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9146,36109,9.9,-1.0,9.6,9.8,9.8,9.8,9.7,8.9,-1,-1.0
9147,36110,10.0,-1.0,9.3,-1.0,-1.0,9.3,4.7,8.15,-1,-1.0
9148,36111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1,-1.0
9149,36112,9.3,-1.0,9.3,8.0,10.0,9.0,10.0,9.75,-1,-1.0
9150,36114,10.0,-1.0,10.0,10.0,-1.0,10.0,-1.0,8.0,-1,-1.0
9151,36118,8.5,-1.0,9.5,9.0,9.0,8.8,8.5,9.45,3,5.13
9152,36119,9.6,-1.0,8.3,9.2,9.2,9.4,9.2,9.3,-1,-1.0
9153,36120,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1,-1.0
9154,36123,8.1,-1.0,9.4,8.1,8.1,6.8,6.3,8.5,-1,-1.0
9155,36124,6.8,-1.0,7.5,-1.0,-1.0,9.0,6.5,7.8,-1,-1.0
9156,36125,8.0,8.0,8.5,6.5,-1.0,6.0,-1.0,8.45,-1,-1.0
9157,36126,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.7,-1,-1.0
9158,36128,9.5,-1.0,8.5,9.4,-1.0,9.4,-1.0,8.7,38,3.71
