,id,name,province_id
596,597,Quận Thủ Đức,33
597,598,Huyện Thủ Thừa,31
598,599,Thị Xã Thuận An,22
599,600,Huyện Thuận Bắc,17
600,601,Huyện Thuận Châu,29
601,602,Huyện Thuận Nam,17
602,603,Huyện Thuận Thành,26
603,604,Huyện Thủy Nguyên,3
604,605,Huyện Thường Tín,11
605,606,Huyện Thường Xuân,16
606,607,Huyện Tiên Du,26
607,608,Huyện Tiền Hải,59
608,609,Huyện Tiên Lãng,3
609,610,Huyện Tiên Lữ,8
610,611,Huyện Tiên Phước,28
611,612,Huyện Tiên Yên,10
612,613,Huyện Tiểu Cần,46
613,614,Huyện Tĩnh Gia,16
614,615,Huyện Tịnh Biên,6
615,616,Huyện Trà Bồng,13
616,617,Huyện Trà Cú,46
617,618,Huyện Trà Lĩnh,19
618,619,Huyện Trà Ôn,37
619,620,Thành Phố Trà Vinh,46
620,621,Huyện Trạm Tấu,63
621,622,Huyện Tràng Định,27
622,623,Huyện Trảng Bàng,30
623,624,Huyện Trảng Bom,32
624,625,Huyện Trấn Yên,63
625,626,Huyện Trần Đề,52
626,627,Huyện Trần Văn Thời,41
627,628,Huyện Tri Tôn,6
628,629,Huyện Triệu Phong,44
629,630,Huyện Triệu Sơn,16
630,631,Huyện Trùng Khánh,19
631,632,Huyện Trực Ninh,61
632,633,Huyện Tủa Chùa,57
633,634,Huyện Tuần Giáo,57
634,635,Huyện Tu Mơ Rông,56
635,636,Huyện Tuy An,58
636,637,Huyện Tuy Đức,54
637,638,Thành Phố Tuy Hòa,58
638,639,Huyện Tuy Phong,23
639,640,Huyện Tuy Phước,5
640,641,Huyện Tuyên Hóa,12
641,642,Thành Phố Tuyên Quang,53
642,643,Huyện Tư Nghĩa,13
643,644,Huyện Tứ Kỳ,34
644,645,Thị Xã Từ Sơn,26
645,646,Huyện Tương Dương,7
646,647,Huyện U Minh,41
647,648,Huyện U Minh Thượng,2
648,649,Thành Phố Uông Bí,10
649,650,Huyện Ứng Hòa,11
650,651,Huyện Vạn Ninh,43
651,652,Huyện Văn Bàn,21
652,653,Huyện Văn Chấn,63
653,654,Huyện Văn Giang,8
654,655,Huyện Văn Lãng,27
655,656,Huyện Văn Lâm,8
656,657,Huyện Văn Quan,27
657,658,Huyện Văn Yên,63
658,659,Huyện Vân Canh,5
659,660,Huyện Đảo Vân Đồn,10
660,661,Huyện Vân Hồ,29
661,662,Thành Phố Vị Thanh,51
662,663,Huyện Vị Thủy,51
663,664,Huyện Vị Xuyên,25
664,665,Thành Phố Việt Trì,49
665,666,Huyện Việt Yên,24
666,667,Thành Phố Vinh,7
667,668,Huyện Vĩnh Bảo,3
668,669,Thị Xã Vĩnh Châu,52
669,670,Huyện Vĩnh Cửu,32
670,671,Huyện Vĩnh Hưng,31
671,672,Huyện Vĩnh Linh,44
672,673,Thành Phố Vĩnh Long,37
673,674,Huyện Vĩnh Lộc,16
674,675,Huyện Vĩnh Lợi,18
675,676,Huyện Vĩnh Thạnh,5
676,677,Huyện Vĩnh Thạnh,38
677,678,Huyện Vĩnh Thuận,2
678,679,Huyện Vĩnh Tường,39
679,680,Thành Phố Vĩnh Yên,39
680,681,Huyện Võ Nhai,55
681,682,Huyện Vũ Quang,45
682,683,Huyện Vũ Thư,59
683,684,Huyện Vụ Bản,61
684,685,Huyện Vũng Liêm,37
685,686,Thành Phố Vũng Tàu,15
686,687,Huyện Xín Mần,25
687,688,Huyện Xuân Lộc,32
688,689,Huyện Xuân Trường,61
689,690,Huyện Xuyên Mộc,15
690,691,Huyện Ý Yên,61
691,692,Thành Phố Yên Bái,63
692,693,Huyện Yên Bình,63
693,694,Huyện Yên Châu,29
694,695,Huyện Yên Dũng,24
695,696,Huyện Yên Định,16
696,697,Huyện Yên Khánh,60
697,698,Huyện Yên Lạc,39
698,699,Huyện Yên Lập,49
699,700,Huyện Yên Minh,25
700,701,Huyện Yên Mô,60
701,702,Huyện Yên Mỹ,8
702,703,Huyện Yên Phong,26
703,704,Huyện Yên Sơn,53
704,705,Huyện Yên Thành,7
705,706,Huyện Yên Thế,24
706,707,Huyện Yên Thủy,48
