,id,name,district_id,province_id
10260,32502,Tùng Chanh Quán - Phố Mới,603,26
10261,32503,Suối Tiên - Suối Đi Bộ,433,23
10262,32504,Hải Đăng - Mũi Kê Gà - Hòn Bà,245,23
10263,32505,Tháp Chàm Poshanu,433,23
10264,32506,Chùa Ông - Trần Phú,433,23
10265,32507,Bãi Đá Ông Địa - Nguyễn Đình Chiểu,433,23
10266,32508,Hòn Ghềnh - Mũi Né,433,23
10267,32509,Bảo Tàng Hồ Chí Minh - Trưng Nhị,433,23
10268,32510,Trường Dục Thanh - Trưng Nhị,433,23
10269,32511,Dinh Thầy Thím,318,23
10270,32512,Lầu Ông Hoàng - Phan Thiết,433,23
10271,32513,Chùa Hang - Cổ Thạch,639,23
10272,32514,Dinh Vạn Thủy Tú - Ngư Ông,433,23
10273,32515,Bàu Sen - Đồi Cát Trắng,34,23
10274,32516,Hòn Rơm - Mũi Né,433,23
10275,32517,Đảo Hòn Bà - Hàm Tân,243,23
10276,32518,PoGo Bar - Beach Club,433,23
10277,32519,Lotte Cinema - Lotte Mart Phan Thiết,433,23
10278,32520,A Mart - Nguyễn Đình Chiểu,433,23
10279,32521,Siêu Thị Co.op Mart - Nguyễn Tất Thành,433,23
10280,32522,Siêu Thị Lotte Mart - Hùng Vương,433,23
10281,32523,Đại Học Phan Thiết,433,23
10282,32524,Thác Tình Yêu - Sa Pa,503,21
10283,32525,Du Lịch Sinh Thái Bản Cát Cát - Sapa,503,21
10284,32526,EGG MUD BATH (KDL Tắm Bùn Trăm Trứng),414,43
10285,32527,Đảo Bình Hưng - Cam Ranh,81,43
10286,32528,Hải Sản Dốc Lết,423,43
10287,32529,Vịnh Vân Phong,651,43
10288,32530,Suối Ba Hồ,423,43
10289,32531,Nhà Thờ Chánh Tòa Kitô Vua - Nguyễn Trãi,414,43
10290,32532,Trung Tâm Tranh Thêu Nghệ Thuật XQ Nha Trang - Trần Phú,414,43
10291,32533,Sailing Club Nha Trang Resort,414,43
10292,32534,Vinpearl Land,414,43
10293,32535,Khu Hải Sản Bãi Nồm - Đảo Bình Ba,81,43
10294,32536,Lotte Cinema - Maximark,414,43
10295,32537,Platinum Cineplex - Nha Trang Center,414,43
10296,32538,Big C Nha Trang,414,43
10297,32539,AEON Citimart - Nha Trang Center,414,43
10298,32540,Maximark Nha Trang,414,43
10299,32541,Co.opmart Nha Trang - Lê Hồng Phong,414,43
10300,32542,Metro Nha Trang,414,43
10301,32543,Bảo Tàng Chiến Thắng Lịch Sử Điện Biên Phủ,177,57
10302,32544,Quảng Trường Tỉnh Đồng Nai,50,32
10303,32545,Văn Miếu Trấn Biên,50,32
10304,32546,Thiền Viện Thường Chiếu - Quốc Lộ 51,343,32
10305,32547,Chùa Phước Hải - Quốc Lộ 51,343,32
10306,32548,Vườn Quốc Gia Cát Tiên,544,32
10307,32549,Chùa Đại Giác,50,32
10308,32550,Chùa Bửu Phong,50,32
10309,32551,Đình Tân Lân,50,32
10310,32552,Chùa Long Thiền,50,32
10311,32553,Bệnh Viện Quốc Tế Đồng Nai,50,32
10312,32554,Nhà Lao Cây Dừa - Nhà Tù Phú Quốc,446,2
10313,32555,Vườn Tiêu Phú Quốc,446,2
10314,32556,Suối Đá Bàn,446,2
10315,32557,Bãi Gành Dầu,446,2
10316,32558,Hòn Bờ Đập - Quần Đảo Bà Lụa - Kiên Giang,293,2
10317,32559,Chùa Phật Đà - Mạc Cửu,230,2
10318,32560,Thạch Động - Quốc Lộ 17,230,2
10319,32561,Chùa Hang - Tỉnh Lộ 11,293,2
10320,32562,Đình Vĩnh Hòa,501,2
10321,32563,Nhà Bảo Tàng Kiên Giang,501,2
10322,32564,Chùa Láng Cát,501,2
10323,32565,Khu Di Tích Lăng Mạc Cửu,230,2
10324,32566,Chùa Tổng Quán - Gò Quao,225,2
10325,32567,Suối Đá Ngọn,446,2
10326,32568,Nhà Tù Hà Tiên,230,2
10327,32569,Chùa Phù Dung - Phù Dung,230,2
10328,32570,Bệnh Viện Đa Khoa Huyện Hòn Đất - Quốc Lộ 80,267,2
10329,32571,Bệnh Viện Đa Khoa Kiên Lương - Trần Hưng Đạo,293,2
10330,32572,Bệnh Viện Đa Khoa Hà Tiên - Mạc Cửu,230,2
10331,32573,Bệnh Viện Đa Khoa Huyện Giồng Riềng,219,2
10332,32574,Bệnh Viện Đa Khoa Huyện Tân Hiệp - Quốc Lộ 80,539,2
10333,32575,Bệnh Viện Đa Khoa Huyện Gò Quao,225,2
10334,32576,Bệnh Viện Bình An - Nguyễn Trung Trực,501,2
10335,32577,Bệnh Viện Y Học Cổ Truyền - Đống Đa,501,2
10336,32578,Bệnh Viện Đa Khoa Phú Quốc - 30 Tháng 4,446,2
10337,32579,Bệnh Viện Đa Khoa Tỉnh Kiên Giang - Lê Lợi,501,2
10338,32580,Quần Đảo Nam Du,293,2
10339,32581,Nhà Hát Nhạc Nước - Vinpearl Resort Phú Quốc,446,2
10340,32582,Phố Cổ Hội An,269,28
10341,32583,Thánh Địa Mỹ Sơn,149,28
10342,32584,KDL Sinh Thái Khe Lim,158,28
10343,32585,Hoi An Boat Adventures,269,28
10344,32586,Rừng Dừa Bảy Mẫu,269,28
10345,32587,May Coffee To Go,530,28
10346,32588,Beta Cineplex - Thái Nguyên,567,55
10347,32589,Cao Đẳng Công Nghiệp Việt Đức - Thống Nhất,511,55
10348,32590,Bệnh Viện Lao & Bệnh Phổi Tỉnh Bến Tre,108,14
10349,32591,Bệnh Viện Y Học Dân Tộc Trần Văn An,49,14
10350,32592,Bệnh Viện Đa Khoa Minh Đức - Đoàn Hoàng Minh,49,14
10351,32593,Bệnh Viện Đa Khoa Nguyễn Đình Chiểu - Đoàn Hoàng Minh,49,14
10352,32594,Bệnh Viện Khu Vực Tiên Thủy - Giồng Da,108,14
10353,32595,Bệnh Viện Đa Khoa Huyện Châu Thành,108,14
10354,32596,Bệnh Viện Đa Khoa Khu Vực Cù Lao Minh,365,14
10355,32597,Bệnh Viện Đa Khoa Huyện Ba Tri - Phan Ngọc Tòng,18,14
10356,32598,Bệnh Viện Đa Khoa Huyện Giồng Trôm - Tỉnh Lộ 885,220,14
10357,32599,Bệnh Viện Khu Vực Vĩnh Thành,123,14
10358,32600,Bệnh Viện Đa Khoa Huyện Chợ Lách,123,14
10359,32601,Chùa Chén Kiểu - Quốc Lộ 1A,384,52
