,hotel_id,clean_score,meal_score,location_score,sleep_score,room_score,service_score,facility_score,overall_score
514,23330,8.8,-1,8.4,8.4,-1,8.1,-1,8.3
515,23376,-1,-1,-1,-1,-1,-1,-1,8.8
516,23393,9.3,7,8.7,9.3,-1,9.3,-1,7.2
517,23394,8.3,7.5,8.3,8.4,-1,7.9,-1,8.3
518,23461,-1,-1,-1,-1,-1,-1,-1,7.5
519,23493,9.2,7.5,9.2,8.8,-1,8.8,-1,7.4
520,23513,6.2,6.7,6.2,5.8,-1,6.2,-1,6.6
521,23674,7.9,-1,7.9,8.2,-1,7.9,-1,7.9
522,23732,6.5,-1,8,6,-1,6.5,5.3,6.8
523,23772,7.3,-1,7.8,-1,-1,8.2,6.7,7.4
524,23803,-1,-1,-1,-1,-1,-1,-1,2
525,29404,8.5,7.9,7.3,8.4,-1,8.2,-1,8.3
526,29409,-1,-1,-1,-1,-1,-1,-1,7.1
527,29414,8.2,7.5,7.8,8,-1,7.5,-1,8.1
528,29415,8.3,7.6,8.5,8.4,-1,8.4,-1,8.1
529,29419,8.9,8,8.8,8.7,-1,8.5,-1,8.6
530,29445,8.8,9,8.4,9.4,9.3,8.9,8.9,8.8
531,29448,8.7,8,7.6,9.2,-1,8.9,8.3,7.9
532,29456,8.2,-1,7.6,-1,-1,9.2,7.7,8.4
533,29458,-1,-1,-1,-1,-1,-1,-1,6
534,29466,9,-1,7.4,-1,-1,9.3,8.5,8.7
535,29498,8.5,7.9,8.3,8.5,-1,8.6,-1,8.4
536,29564,8.4,7.8,8.6,8.2,-1,7.9,-1,8.6
537,29566,-1,-1,-1,-1,-1,-1,-1,-1
538,29615,8.7,8.5,7.3,9,-1,8.3,-1,8.6
539,29663,8.8,10,7.9,9.4,-1,8.7,-1,8.8
540,29666,8.5,8.1,8.6,8.3,-1,8.2,-1,9
541,29684,9.6,8.3,8.4,9.3,-1,9.3,-1,8.6
542,29686,9.2,8,8.8,9.2,-1,9.2,-1,9
543,29694,9.2,8,8.8,9.2,-1,9.2,-1,9
544,29695,9.2,8,8.8,9.2,-1,9.2,-1,9
545,29696,9.2,8,8.8,9.2,-1,9.2,-1,9
546,29700,9.6,8.3,8.4,9.3,-1,9.3,-1,8.6
547,29701,9.6,8.3,8.4,9.3,-1,9.3,-1,8.6
548,29706,9.6,8.3,8.4,9.3,-1,9.3,-1,8.6
549,29707,9.6,8.3,8.4,9.3,-1,9.3,-1,8.6
550,29711,9.7,9,8.8,9.6,9.6,9.4,9.4,9.3
551,40391,8.7,8.2,8.1,8.7,-1,8.5,8.4,8.5
552,40392,7.7,-1,7.4,-1,7.6,7.9,7.4,7.6
553,40394,8.1,-1,7.3,8.3,8.3,8.3,8.1,8.1
554,40395,8.2,-1,7.5,-1,7.5,8.2,8,7.8
555,40397,8.1,-1,8.9,-1,8.3,8.6,8.1,8.4
556,40398,9.4,-1,9.6,-1,9.4,9.5,9.1,9.4
557,40400,-1,-1,-1,-1,-1,-1,-1,-1
558,40402,4.7,-1,7.3,-1,-1,5.3,4.7,5.6
559,40404,8.7,-1,8.7,-1,-1,8.3,7.5,8.3
560,40405,9.3,-1,7.7,-1,-1,8.8,8.5,8.5
561,40407,4,-1,10,-1,-1,10,4,7.2
562,40409,7.7,-1,8.7,-1,7.7,8.4,7.3,8
563,40410,7.6,-1,7.2,-1,-1,8,7.5,8
564,40411,7.8,-1,7.9,-1,-1,8.2,7.6,7.9
565,40412,9.4,8.4,9.3,9.1,-1,8.7,-1,8.8
566,40413,9.4,8.6,8.8,9.2,-1,9.3,-1,9
567,40414,-1,-1,-1,-1,-1,-1,-1,8
568,40415,9.4,8.7,8.8,9.2,-1,9.1,-1,8.8
569,40417,8.9,8.1,8,9.2,-1,8.7,8.2,8.5
570,40418,9.1,-1,8.7,-1,-1,9.2,7.7,8.5
571,40419,8.9,8,8.3,9.1,-1,9,-1,8.7
572,40422,9,8.8,8.7,9.1,-1,9,-1,8.7
573,40423,8.5,-1,8.2,8.6,-1,9.1,-1,8.8
574,40424,8.6,8.3,7.4,9,-1,8.3,7.8,7.9
575,40426,9.7,8.4,8.7,9.4,-1,9.3,-1,9
576,40427,8.6,8.4,8.1,8.6,-1,8.4,-1,8.4
577,40428,9.1,8.3,9.1,9.1,-1,9.1,-1,7.8
578,40430,-1,-1,-1,-1,-1,-1,-1,9.3
