,hotel_id,breakfast,wifi,carpark,airport,restaurant,deposit_box,baby,bar,laundry,tour,spa,pool
9185,36110,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1
9186,36111,-1,0,0,0,0,0,0,0,0,0,0,0
9187,36112,-1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1
9188,36114,-1,0,0,0,0,0,0,0,1,1,0,0
9189,36118,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9190,36119,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9191,36120,-1,1,1,0,0,0,-1,1,0,0,0,-1
9192,36123,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
9193,36124,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1
9194,36125,-1,1,0,1,0,0,0,0,1,0,0,0
9195,36126,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
9196,36128,-1,1,0,1,0,0,0,0,1,1,0,0
9197,36129,-1,1,0,1,1,0,0,0,1,1,0,0
9198,36130,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9199,36131,-1,1,1,1,0,0,-1,0,0,0,0,-1
9200,36132,-1,1,1,0,0,1,-1,0,1,0,0,-1
9201,36133,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1
9202,36135,-1,1,0,0,0,1,1,0,1,1,0,0
9203,36139,-1,1,0,0,0,1,0,0,1,1,0,0
9204,36141,-1,1,1,0,0,0,-1,1,1,1,0,-1
9205,36142,-1,1,1,0,0,0,-1,0,0,0,0,-1
9206,36144,-1,1,0,0,0,0,-1,0,0,0,0,-1
9207,36145,-1,1,1,0,0,0,-1,1,0,0,0,-1
9208,36146,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1
9209,36147,-1,1,1,0,0,0,-1,0,1,1,0,-1
9210,36148,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9211,36150,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1
9212,36151,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9213,36152,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9214,36154,-1,1,0,0,0,0,0,0,1,-1,-1,-1
9215,36155,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9216,36156,-1,1,0,1,0,0,0,0,1,0,0,0
9217,36159,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9218,36160,-1,1,1,1,0,0,-1,0,1,1,0,-1
9219,36161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9220,36162,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9221,36163,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9222,36164,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9223,36165,-1,1,0,1,0,0,0,0,1,-1,-1,-1
9224,36166,-1,1,0,0,0,1,1,0,1,1,1,1
9225,36167,-1,0,0,0,1,0,0,0,0,0,0,1
9226,36168,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0,-1
9227,36169,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9228,36170,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9229,36171,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9230,36172,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9231,36173,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9232,36174,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9233,36175,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9234,36176,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9235,36177,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9236,36178,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9237,36179,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9238,36180,-1,1,0,0,0,1,0,0,1,-1,-1,-1
9239,36181,-1,1,0,0,0,0,0,0,1,1,0,0
9240,36182,-1,1,0,0,1,0,1,1,0,0,1,1
9241,36183,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9242,36184,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9243,36186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9244,36187,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9245,36188,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9246,36189,-1,1,0,1,0,0,0,0,1,0,0,1
9247,36190,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9248,36191,-1,1,0,0,0,0,0,0,0,0,0,0
9249,36192,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9250,36193,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9251,36194,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9252,36195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9253,36196,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9254,36197,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9255,36198,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9256,36199,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9257,36200,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9258,36201,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9259,36202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9260,36203,-1,1,0,0,0,0,0,0,0,0,0,-1
9261,36204,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9262,36205,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
9263,36206,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
